代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
000521,长虹美菱,5.59,14.0,58.0,5,低估(PE14)
000951,中国重汽,20.66,14.5,242.0,5,低估(PE15)
601949,中国出版,5.09,15.0,97.0,5,低估(PE15)
600033,福建高速,3.51,10.2,96.0,5,低估(PE10)
600273,嘉化能源,7.29,9.9,96.0,5,低估(PE10)
300181,佐力药业,13.56,14.7,95.0,5,低估(PE15)
600757,长江传媒,7.78,9.3,94.0,5,低估(PE9)
603323,苏农银行,4.67,4.6,94.0,5,低估(PE5)
601311,骆驼股份,8.84,12.5,104.0,5,低估(PE12)
000828,东莞控股,9.95,12.6,103.0,5,低估(PE13)
600841,动力新科,7.39,3.6,103.0,5,低估(PE4)
002839,张家港行,4.18,5.4,102.0,5,低估(PE5)
601900,南方传媒,11.57,9.8,102.0,5,低估(PE10)
001233,海安集团,54.21,13.9,101.0,5,低估(PE14)
603444,吉比特,330.99,13.3,238.0,5,低估(PE13)
600998,九州通,4.68,10.6,236.0,5,低估(PE11)
601677,明泰铝业,18.84,12.2,234.0,5,低估(PE12)
603816,顾家家居,28.3,12.9,232.0,5,低估(PE13)
601128,常熟银行,6.98,5.5,231.0,5,低估(PE5)
603833,欧派家居,37.77,11.4,230.0,5,低估(PE11)
002705,新宝股份,12.34,10.0,100.0,5,低估(PE10)
600210,紫江企业,6.59,9.6,100.0,5,低估(PE10)
600269,赣粤高速,4.22,7.7,99.0,5,低估(PE8)
002668,TCL智家,9.08,8.7,98.0,5,低估(PE9)
600507,方大特钢,4.74,11.6,110.0,5,低估(PE12)
600639,浦东金桥,9.74,10.1,109.0,5,低估(PE10)
600970,中材国际,8.7,8.0,228.0,5,低估(PE8)
600008,首创环保,3.06,12.7,225.0,5,低估(PE13)
600582,天地科技,5.41,9.2,224.0,5,低估(PE9)
601928,凤凰传媒,8.78,12.4,223.0,5,低估(PE12)
000600,建投能源,12.1,11.6,218.0,5,低估(PE12)
603565,XD中谷物,10.33,10.9,217.0,5,低估(PE11)
601997,贵阳银行,5.87,4.3,215.0,5,低估(PE4)
