代码,名称,板块,最新价,涨跌幅,换手率,量比,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
301331,恩威医药,生物医药,26.29,2.38,4.26511,0.27,26.29,24.1,39.66,1.09,7.4,9.09,33.71
603739,蔚蓝生物,生物医药,13.86,0.29,1.85539,0.9,13.86,12.63,18.41,1.1,22.6,9.74,24.71
603739,蔚蓝生物,生物医药,13.86,0.29,1.72415,0.9,13.86,12.63,18.41,1.1,22.6,9.74,24.71
600721,百花医药,生物医药,7.68,-1.03,2.2456,0.31,7.68,6.92,12.6,1.11,12.9,10.98,39.05
600721,百花医药,生物医药,7.68,-1.03,1.83205,0.31,7.68,6.92,12.6,1.11,12.9,10.98,39.05
300583,赛托生物,生物医药,14.35,2.06,2.12953,0.8,14.35,12.82,19.78,1.12,20.6,11.93,27.45
300583,赛托生物,生物医药,14.35,2.06,2.48931,0.8,14.35,12.82,19.78,1.12,20.6,11.93,27.45
603717,天域生物,生物医药,7.05,2.92,3.67508,1.7,7.05,6.26,11.17,1.13,20.2,12.62,36.88
603717,天域生物,生物医药,7.05,2.92,3.03523,1.7,7.05,6.26,11.17,1.13,20.2,12.62,36.88
300406,九强生物,生物医药,12.86,0.7,1.05519,0.54,12.86,11.34,16.05,1.13,18.9,13.4,19.88
300406,九强生物,生物医药,12.86,0.7,1.04546,0.54,12.86,11.34,16.05,1.13,18.9,13.4,19.88
605507,国邦医药,生物医药,22.38,0.99,0.32296,0.67,22.38,19.46,29.98,1.15,25.1,15.01,25.35
605507,国邦医药,生物医药,22.38,0.99,0.50377,0.67,22.38,19.46,29.98,1.15,25.1,15.01,25.35
300357,我武生物,生物医药,23.39,-0.93,1.16608,0.64,23.39,19.27,35.84,1.21,16.0,21.38,34.74
300357,我武生物,生物医药,23.39,-0.93,1.303,0.64,23.39,19.27,35.84,1.21,16.0,21.38,34.74
300813,泰林生物,生物医药,23.77,1.67,3.19686,0.72,23.77,18.41,42.25,1.29,20.2,29.11,43.74
300813,泰林生物,生物医药,23.77,1.67,3.30945,0.72,23.77,18.41,42.25,1.29,20.2,29.11,43.74
300149,睿智医药,生物医药,9.0,-1.1,2.44051,0.13,9.0,6.72,15.28,1.34,2.9,33.93,41.1
300149,睿智医药,生物医药,9.0,-1.1,1.73386,0.13,9.0,6.72,15.28,1.34,2.9,33.93,41.1
002928,华夏航空,高端制造-军工,7.18,-2.58,5.91423,1.84,7.18,7.11,12.48,1.01,0.4,0.98,42.47
002928,华夏航空,高端制造-军工,7.18,-2.58,2.72029,1.84,7.18,7.11,12.48,1.01,0.4,0.98,42.47
600029,南方航空,高端制造-军工,5.37,1.51,1.30787,2.34,5.37,5.19,8.46,1.03,2.1,3.47,36.52
600029,南方航空,高端制造-军工,5.37,1.51,0.88094,2.34,5.37,5.19,8.46,1.03,2.1,3.47,36.52
300581,晨曦航空,高端制造-军工,12.06,2.29,1.9836,0.11,12.06,11.64,25.77,1.04,1.2,3.61,53.2
300581,晨曦航空,高端制造-军工,12.06,2.29,1.41754,0.11,12.06,11.64,25.77,1.04,1.2,3.61,53.2
600316,洪都航空,高端制造-军工,31.16,-2.2,1.41658,0.67,31.16,29.5,47.66,1.06,3.3,5.63,34.62
600316,洪都航空,高端制造-军工,31.16,-2.2,1.94023,0.67,31.16,29.5,47.66,1.06,3.3,5.63,34.62
601021,春秋航空,高端制造-军工,46.43,-2.91,0.8587,2.19,46.43,43.08,60.48,1.08,6.6,7.78,23.23
601021,春秋航空,高端制造-军工,46.43,-2.91,0.84841,2.19,46.43,43.08,60.48,1.08,6.6,7.78,23.23
603885,吉祥航空,高端制造-军工,11.44,-0.44,0.86517,1.64,11.44,10.52,15.97,1.09,4.5,8.75,28.37
603885,吉祥航空,高端制造-军工,11.44,-0.44,1.00177,1.64,11.44,10.52,15.97,1.09,4.5,8.75,28.37
002389,航天彩虹,"高端制造-军工, 商业航天",20.36,-0.97,1.75794,0.3,20.36,20.22,29.85,1.01,0.4,0.69,31.79
002389,航天彩虹,"高端制造-军工, 商业航天",20.36,-0.97,2.67717,0.3,20.36,20.22,29.85,1.01,0.4,0.69,31.79
600501,航天晨光,"高端制造-军工, 商业航天",21.18,-4.21,2.012,0.5,21.18,18.01,39.97,1.18,23.1,17.6,47.01
600501,航天晨光,"高端制造-军工, 商业航天",21.18,-4.21,1.93624,0.5,21.18,18.01,39.97,1.18,23.1,17.6,47.01
